/home/ap/image_compression/kodak/kodim11.png 6 638906 45772 46596 50 54  |  33.908424 0.953044 0.987010 0.559736 33.932735 39.881672  |  34.059929 0.953715 0.987337 0.562519 34.122391 40.124123  |  
/home/ap/image_compression/kodak/kodim13.png 6 889958 75367 76684 50 55  |  29.399212 0.944077 0.985230 0.491949 30.551653 37.434536  |  29.577003 0.945248 0.985603 0.495712 30.753345 37.706997  |  
/home/ap/image_compression/kodak/kodim07.png 6 569526 37321 37773 50 54  |  37.048847 0.987734 0.996414 0.725546 37.180595 46.560997  |  37.099083 0.987772 0.996403 0.727613 37.227406 46.490005  |  
/home/ap/image_compression/kodak/kodim09.png 6 584911 30771 31304 50 54  |  37.035931 0.970793 0.992288 0.673940 36.894287 42.770638  |  37.167423 0.971288 0.992340 0.676969 37.003262 42.842457  |  
/home/ap/image_compression/kodak/kodim04.png 6 638377 37005 37644 50 54  |  36.258114 0.974938 0.988971 0.667193 36.258076 42.635815  |  36.361904 0.975556 0.989215 0.669615 36.379791 42.789341  |  
/home/ap/image_compression/kodak/kodim23.png 6 559169 27825 28217 50 53  |  39.011734 0.992837 0.997380 0.782095 38.931328 48.897976  |  39.088200 0.992961 0.997446 0.783681 39.006535 48.967316  |  
/home/ap/image_compression/kodak/kodim20.png 6 508703 30489 30898 50 53  |  36.072273 0.980742 0.994887 0.658057 36.638367 44.314037  |  36.166050 0.980591 0.994945 0.662239 36.718369 44.292629  |  
/home/ap/image_compression/kodak/kodim08.png 6 788056 69154 69979 50 54  |  31.549433 0.983636 0.994778 0.609670 32.101532 41.000095  |  31.651140 0.983909 0.994881 0.612636 32.199394 41.006248  |  
/home/ap/image_compression/kodak/kodim16.png 6 576834 38079 38777 50 55  |  35.395935 0.959924 0.984427 0.595385 34.267982 39.063946  |  35.552738 0.960658 0.984915 0.597964 34.442333 39.258209  |  
/home/ap/image_compression/kodak/kodim17.png 6 625420 37691 38309 50 55  |  35.883682 0.975567 0.992481 0.675190 36.114418 43.161465  |  36.029045 0.975960 0.992687 0.678770 36.294300 43.339432  |  
/home/ap/image_compression/kodak/kodim01.png 6 780062 61823 62684 50 55  |  31.642395 0.952586 0.986870 0.537650 32.210884 38.899704  |  31.757158 0.952587 0.987064 0.540972 32.349651 39.083302  |  
/home/ap/image_compression/kodak/kodim24.png 6 707270 53740 54327 50 54  |  32.635258 0.975086 0.993069 0.602195 33.636360 42.187405  |  32.768024 0.975353 0.993109 0.604824 33.762852 42.325996  |  
/home/ap/image_compression/kodak/kodim22.png 6 701286 43808 44609 50 55  |  34.526634 0.965587 0.990704 0.602031 35.202225 42.714146  |  34.677586 0.966331 0.990988 0.605077 35.365730 42.986198  |  
/home/ap/image_compression/kodak/kodim02.png 6 618656 33917 34234 50 53  |  36.056599 0.931831 0.984420 0.513947 36.151909 41.026791  |  36.126564 0.932275 0.984679 0.514875 36.237251 41.128819  |  
/home/ap/image_compression/kodak/kodim21.png 6 680428 42886 43730 50 53  |  33.556541 0.964681 0.991094 0.566657 33.763790 40.602745  |  33.652668 0.964819 0.991251 0.569926 33.894962 40.853077  |  
/home/ap/image_compression/kodak/kodim03.png 6 544898 30150 30562 50 54  |  37.446434 0.985682 0.994879 0.716604 36.863934 44.782440  |  37.581512 0.985972 0.994985 0.718880 37.015446 44.982410  |  
/home/ap/image_compression/kodak/kodim15.png 6 614487 33989 34520 50 54  |  36.097435 0.995235 0.998331 0.756381 36.816807 47.531464  |  36.179085 0.995237 0.998334 0.758665 36.898323 47.178131  |  
/home/ap/image_compression/kodak/kodim06.png 6 669954 49903 50838 50 54  |  33.139999 0.958449 0.985107 0.579980 32.607784 38.165936  |  33.274406 0.958960 0.985488 0.581680 32.814159 38.500557  |  
/home/ap/image_compression/kodak/kodim14.png 6 739601 56418 57406 50 55  |  33.220718 0.974762 0.992111 0.604320 33.395687 41.483925  |  33.409824 0.975399 0.992291 0.608310 33.574753 41.632420  |  
/home/ap/image_compression/kodak/kodim18.png 6 779827 54333 55059 50 55  |  32.696739 0.957111 0.988329 0.566736 33.557659 40.112045  |  32.830860 0.957592 0.988465 0.569718 33.701019 40.219883  |  
/home/ap/image_compression/kodak/kodim12.png 6 571375 32372 32757 50 53  |  37.090824 0.978156 0.992215 0.676838 36.403637 43.308006  |  37.178722 0.978365 0.992272 0.677843 36.501938 43.466080  |  
/home/ap/image_compression/kodak/kodim19.png 6 671469 42560 43040 50 55  |  34.464947 0.959159 0.988962 0.625891 34.505016 40.423763  |  34.610291 0.958259 0.988997 0.629802 34.711151 40.620708  |  
/home/ap/image_compression/kodak/kodim10.png 6 595000 34241 34806 50 54  |  36.757404 0.971104 0.992237 0.663173 37.021408 43.650734  |  36.885071 0.971743 0.992379 0.665684 37.121029 43.756287  |  
/home/ap/image_compression/kodak/kodim05.png 6 807355 69148 69976 50 54  |  32.008392 0.971493 0.993327 0.586402 33.142597 42.088955  |  32.124191 0.972258 0.993604 0.589763 33.299999 42.424900  |  
