/home/ap/multi_cam/src/original_big/ori_027.jpg 6 1265906 70903 73348 50 55  |  43.830780 0.992902 0.998134 0.858992 42.886215 52.810993  |  44.034363 0.993185 0.998237 0.863012 43.169224 53.252125  |  
/home/ap/multi_cam/src/original_big/ori_145.jpg 6 1711976 90416 91646 50 55  |  42.147175 0.997566 0.998667 0.854630 40.831917 53.033897  |  42.292751 0.997628 0.998707 0.857068 41.016987 53.294277  |  
/home/ap/multi_cam/src/original_big/ori_105.jpg 6 1249890 74760 76248 50 55  |  44.307442 0.999205 0.999451 0.906916 42.506737 55.227066  |  44.455662 0.999227 0.999470 0.909420 42.680542 55.277260  |  
/home/ap/multi_cam/src/original_big/ori_009.jpg 6 1731543 99142 100788 50 55  |  42.666172 0.998787 0.999153 0.876286 41.182350 53.876381  |  42.824879 0.998837 0.999193 0.879105 41.374187 54.095898  |  
/home/ap/multi_cam/src/original_big/ori_101.jpg 6 986020 63482 63505 50 55  |  45.676716 0.999273 0.999438 0.922990 44.229622 57.075012  |  45.756886 0.999282 0.999461 0.924209 44.366467 57.299015  |  
/home/ap/multi_cam/src/original_big/ori_047.jpg 6 749686 58859 61067 50 56  |  46.529709 0.998183 0.999055 0.929357 45.077202 56.163494  |  46.548855 0.998169 0.999044 0.929580 45.057148 55.941517  |  
/home/ap/multi_cam/src/original_big/ori_197.jpg 6 1869172 105659 110270 50 54  |  38.823517 0.994940 0.998295 0.791478 39.892715 52.259068  |  39.032707 0.995102 0.998327 0.794700 40.089237 52.465763  |  
/home/ap/multi_cam/src/original_big/ori_001.jpg 6 939265 74498 78192 50 56  |  47.197124 0.998462 0.999313 0.933135 45.199127 56.594036  |  47.245953 0.998466 0.999333 0.933710 45.301849 56.659290  |  
/home/ap/multi_cam/src/original_big/ori_015.jpg 6 1175358 64778 67813 50 55  |  43.998215 0.998663 0.999333 0.896611 42.920364 56.004574  |  44.246861 0.998748 0.999396 0.900485 43.233295 56.525463  |  
/home/ap/multi_cam/src/original_big/ori_059.jpg 6 853542 46669 48976 50 56  |  47.226185 0.997233 0.998779 0.916654 46.511353 57.439548  |  47.453224 0.997374 0.998794 0.919163 46.625404 57.349751  |  
/home/ap/multi_cam/src/original_big/ori_111.jpg 6 1367460 108079 112296 50 55  |  39.500275 0.990570 0.998126 0.791852 40.307747 51.965382  |  39.776897 0.991049 0.998249 0.798614 40.654842 52.471085  |  
/home/ap/multi_cam/src/original_big/ori_193.jpg 6 1638336 142242 147878 50 55  |  40.914040 0.993657 0.998422 0.815711 40.896885 53.138256  |  41.267300 0.994127 0.998566 0.823914 41.346054 53.813080  |  
/home/ap/multi_cam/src/original_big/ori_135.jpg 6 1124892 83119 86835 50 53  |  40.511547 0.997020 0.998948 0.846543 41.661987 55.296467  |  40.731918 0.997161 0.998988 0.850054 41.909958 55.603893  |  
/home/ap/multi_cam/src/original_big/ori_079.jpg 6 850715 49927 51378 50 55  |  47.606186 0.998232 0.999280 0.934271 46.033646 57.933380  |  47.754791 0.998279 0.999289 0.936014 46.154396 57.892570  |  
/home/ap/multi_cam/src/original_big/ori_185.jpg 6 1557775 113918 119250 50 55  |  39.979324 0.993390 0.997710 0.785408 40.214828 52.031178  |  40.275146 0.993829 0.997899 0.792878 40.609543 52.670246  |  
/home/ap/multi_cam/src/original_big/ori_081.jpg 6 976664 50236 51997 50 55  |  46.984184 0.996193 0.998682 0.898876 46.192593 55.640388  |  47.028271 0.995991 0.998569 0.900313 46.089127 54.882656  |  
/home/ap/multi_cam/src/original_big/ori_157.jpg 6 1810342 91470 92880 50 55  |  42.297398 0.998822 0.999131 0.868579 40.826603 54.000134  |  42.459499 0.998866 0.999181 0.871739 41.034031 54.257458  |  
